Rank,Name,Symbol,Price,Volume_24h,Market_Cap,Circulating_Supply,Total_Supply,Max_Supply,Percent_Change_1h,Percent_Change_24h,Percent_Change_7d,Date_Added,Capture_Date
46,BitcoinDark,BTCD,1.69621229,3588.03857422,2159718.5656602,1273259.58914809,1273259.58914809,,-0.626037,-9.61678,14.0919,2014-07-16T00:00:00.000Z,2024-09-23
47,ShadowCash,SDC,0.29769599,17436.91992188,1950393.96563319,6551629.85889,6551629.85889,,-1.33263,4.56631,57.8004,2014-07-31T00:00:00.000Z,2024-09-23
48,EarthCoin,EAC,0.00020129,161931.390625,1881365.23538946,9346468332.44513,9346468332.44513,,-0.00578205,-4.40771,8.08545,2013-12-28T00:00:00.000Z,2024-09-23
49,RevolutionVR,RVR,0.05931405,54706.63671875,1868392.68542826,31500000.0,210000000.0,210000000.0,-2.80475,-1.99627,-3.39512,2016-04-04T00:00:00.000Z,2024-09-23
50,MonaCoin,MONA,0.05168051,3145.74951172,1826761.28744779,35347199.9939447,35347199.9939447,,-3.35967,1.68586,-0.205023,2014-03-20T00:00:00.000Z,2024-09-23
51,MintCoin,MINT,7.229e-05,796.0111084,1668340.07569543,23077840377.4118,23077840377.4118,,4.4876,-3.27014,10.5823,2014-02-19T00:00:00.000Z,2024-09-23
52,SuperNET,UNITY,2.01670408,1550.47167969,1645753.55005839,816060.9999,816060.9999,,0.399309,1.43152,-1.01527,2014-10-01T00:00:00.000Z,2024-09-23
53,VeriCoin,VRC,0.05828448,2959.23022461,1613119.49634836,27676657.5939312,27676657.5939312,,3.62722,-3.43372,15.1898,2014-05-16T00:00:00.000Z,2024-09-23
54,Vcash,XVC,0.10520862,11814.40039063,1530825.93256138,14550385.0,14550385.0,,-4.08903,-4.59104,13.5263,2015-03-06T00:00:00.000Z,2024-09-23
55,Primecoin,XPM,0.09014455,15323.33300781,1366081.6227684,15154344.7502737,15154344.7502737,,1.57483,-7.52333,2.05541,2013-07-11T00:00:00.000Z,2024-09-23
56,Quark,QRK,0.00495763,13989.67871094,1239907.71319013,250101047.0,250101047.0,,-0.00164372,-11.1088,-2.83859,2013-08-25T00:00:00.000Z,2024-09-23
57,Auroracoin,AUR,0.14900906,2665.25366211,1233042.7965961,8274951.63596773,8274951.63596773,21000000.0,-0.810874,-15.4077,-20.2314,2014-02-27T00:00:00.000Z,2024-09-23
58,Clams,CLAM,0.6842823,5952.44091797,1229679.92039957,1797035.98246869,15731462.1304893,,-1.37151,-3.24922,11.4744,2014-08-26T00:00:00.000Z,2024-09-23
59,ReddCoin,RDD,3.927e-05,2527.19287109,1105053.49703523,28141977145.4796,28141977145.4796,,-12.9732,-7.17377,-0.151288,2014-02-10T00:00:00.000Z,2024-09-23
