Ranking,Name,Token,Price,One_Hour_Percentage,TwentyFour_Hour_Percentage,Seven_Days_Percentage,Market_Cap,Volume_24h,Circulating_Supply,Total_Supply,Max_Supply,Class,Halving_1_RankIndex,Halving_1_Plus250_RankIndex,Halving_2_RankIndex,Halving_2_Plus250_RankIndex,Halving_3_RankIndex,Halving_3_Plus250_RankIndex,Halving_4_RankIndex,Capture_Date,halving_survive
376,Phala Network,PHA,$0.1222,0.15%,1.97%,19.72%,"$91,911,893","$12,978,820
106,059,492 PHA","752,013,346 PHA",1000000000.0,,0,,,,,,,338.0,2024-09-23,0
380,dKargo,DKA,$0.02112,0.82%,0.46%,8.85%,"$90,382,336","$1,576,579
74,442,703 DKA","4,279,583,333 DKA",5000000000.0,5000000000.0,0,,,,,,565.0,385.0,2024-09-23,1
392,Solidus Ai Tech,AITECH,$0.08551,0.58%,10.22%,4.86%,"$87,223,277","$6,089,909
71,199,810 AITECH","1,020,059,849 AITECH",1992002130.0,2000000000.0,0,,,,,,,370.0,2024-09-23,0
394,Oraichain,ORAI,$6.28,0.08%,3.60%,19.67%,"$86,878,880","$2,774,487
441,748 ORAI","13,823,700 ORAI",18014986.26,19779272.0,0,,,,,,,350.0,2024-09-23,0
400,Hooked Protocol,HOOK,$0.4587,0.52%,2.13%,18.16%,"$85,622,804","$13,926,086
30,461,262 HOOK","186,660,920 HOOK",500000000.0,,0,,,,,,,357.0,2024-09-23,0
405,ChainGPT,CGPT,$0.1478,1.01%,17.79%,21.91%,"$82,622,638","$7,199,930
48,696,802 CGPT","558,845,349 CGPT",998210432.0,1000000000.0,0,,,,,,,381.0,2024-09-23,0
411,CUDOS,CUDOS,$0.01182,0.07%,1.79%,43.48%,"$80,846,304","$1,536,036
129,945,621 CUDOS","6,841,280,975 CUDOS",10000000000.0,10000000000.0,0,,,,,,,432.0,2024-09-23,0
433,Phoenix,PHB,$1.44,0.08%,6.55%,23.55%,"$74,408,413","$13,260,702
9,220,787 PHB","51,629,341 PHB",51641767.0,64000000.0,0,,,,,,,447.0,2024-09-23,0
435,Node AI,GPU,$0.7748,0.03%,7.83%,21.38%,"$73,664,445","$1,217,670
1,572,324 GPU","95,069,916 GPU",100000000.0,100000000.0,0,,,,,,,337.0,2024-09-23,0
445,Artificial Liquid Intelligence,ALI,$0.01151,0.49%,10.06%,26.18%,"$71,100,435","$1,235,559
107,313,828 ALI","6,179,259,839 ALI",9870903732.81426,,0,,,,,,,496.0,2024-09-23,0
