Ranking,Name,Token,Price,One_Hour_Percentage,TwentyFour_Hour_Percentage,Seven_Days_Percentage,Market_Cap,Volume_24h,Circulating_Supply,Total_Supply,Max_Supply,Class,Halving_1_RankIndex,Halving_1_Plus250_RankIndex,Halving_2_RankIndex,Halving_2_Plus250_RankIndex,Halving_3_RankIndex,Halving_3_Plus250_RankIndex,Halving_4_RankIndex,Capture_Date,halving_survive
7646,BOMBOCLAT,BCLAT,$0.057883,0.00%,2.21%,11.16%,"$7,883","$4
479,525 BCLAT","1,000,000,000 BCLAT",999921151.0,,3,,,,,,,,2024-09-23,0
7648,purple panda,PANDA,$0.086067,0.00%,3.78%,3.59%,"$6,053","$7
1,094,449,345 PANDA","997,665,140,003 PANDA",1000000000000.0,1000000000000.0,3,,,,,,,,2024-09-23,0
7657,REDZILLA COIN,REDZILLA,$0.000138,0.00%,10.77%,2.72%,"$138,006","$6
45,795 REDZILLA","1,000,000,000 REDZILLA",1000000000.0,1000000000.0,3,,,,,,,,2024-09-23,0
7664,GIB,GIB,$0.00006525,0.00%,1.87%,7.43%,"$65,252","$6
93,790 GIB","1,000,000,000 GIB",1000000000.0,1000000000.0,3,,,,,,,5438.0,2024-09-23,0
7675,JUGNI,JUGNI,$0.0008455,0.00%,0.03%,6.34%,"$84,554","$6
6,895 JUGNI","100,000,000 JUGNI",100000000.0,100000000.0,3,,,,,,,5588.0,2024-09-23,0
7681,Dede,DEDE,$0.09463,0.49%,0.35%,2.28%,"$46,302","$6
12,202,561,036 DEDE","99,999,992,992,573 DEDE",99999992992573.0,,3,,,,,,,6690.0,2024-09-23,0
7691,BABY GUMMY,BABYGUMMY,$0.00001548,0.00%,2.13%,8.51%,"$8,793","$5
348,813 BABYGUMMY","568,000,000 BABYGUMMY",1000000000.0,,3,,,,,,,,2024-09-23,0
7692,Bong - Bonk's Brother,$BONG,$0.063388,0.00%,0.92%,3.65%,"$33,874","$5
15,910,188 $BONG","99,989,186,093 $BONG",99989186093.0,,3,,,,,,,5201.0,2024-09-23,0
7694,Worried,BUFFET,$0.0102709,0.00%,4.74%,8.13%,"$11,382","$5
197,047,639,515 BUFFET","420,000,000,000,000 BUFFET",420000000000000.0,,3,,,,,,,6510.0,2024-09-23,0
7695,PEPECASH,PEPECASH,$0.071182,0.00%,2.17%,10.81%,"$4,971,625","$5
451,015,095 PEPECASH","420,690,000,000,000 PEPECASH",420690000000000.0,420690000000000.0,3,,,,,,,4386.0,2024-09-23,0
7700,Lola,$LOLA,$0.072493,0.00%,0.82%,8.73%,"$16,621","$5
206,566,837 $LOLA","666,666,666,666 $LOLA",666666666666.0,,3,,,,,,,7619.0,2024-09-23,0
7709,SOLGOAT,SOLGOAT,$0.001766,0.00%,1.04%,8.01%,"$176,552","$5
2,787 SOLGOAT","100,000,000 SOLGOAT",100000000.0,,3,,,,,,,3236.0,2024-09-23,0
7733,TrumpCat,TRUMPCAT,$0.00001945,0.00%,3.39%,7.99%,"$19,449","$4
204,638 TRUMPCAT","1,000,000,000 TRUMPCAT",1000000000.0,,3,,,,,,,,2024-09-23,0
7736,Harris V Trump,HARRIS,$0.0121263,0.00%,1.39%,18.00%,"$5,308","$4
30,936,867,095,875 HARRIS","42,000,000,000,000,000 HARRIS",4.2e+16,4.2e+16,3,,,,,,,,2024-09-23,0
7741,SAUDI PEPE,SAUDIPEPE,$0.05185,2.84%,2.84%,8.71%,"$18,497","$4
2,000,353 SAUDIPEPE","10,000,000,000 SAUDIPEPE",10000000000.0,,3,,,,,,,6453.0,2024-09-23,0
7750,Gently Used Girl,GURL,$0.06635,0.00%,3.69%,6.31%,"$3,968","$4
5,638,113 GURL","6,248,914,125 GURL",6248914125.0,,3,,,,,,,,2024-09-23,0
7763,PulseTrailerPark,PTP,$0.092193,0.00%,5.07%,23.77%,"$121,832","$3
14,774,417,955 PTP","555,555,555,555,555 PTP",555555555555555.0,555555555555555.0,3,,,,,,,6651.0,2024-09-23,0
7765,Coolcoin,COOL,$0.0003669,0.00%,0.79%,9.89%,"$330,185","$3
8,804 COOL","900,000,000 COOL",949998722.83,,3,,,,,,,,2024-09-23,0
7769,King Sora,KINGSORA,$0.0121108,3.59%,3.59%,8.33%,"$46,524","$3
28,346,535,283,487 KINGSORA","420,000,000,000,000,000 KINGSORA",4.2e+17,4.2e+17,3,,,,,,,9700.0,2024-09-23,0
7773,FOMOSolana,FOMO,$0.002012,0.00%,0.85%,47.31%,"$201,207","$3
1,541 FOMO","99,999,962 FOMO",99999962.19,,3,,,,,,,5055.0,2024-09-23,0
7786,PUNGU,PUNGU,$0.059648,0.00%,0.45%,5.54%,"$9,648","$3
287,101 PUNGU","1,000,000,000 PUNGU",1000000000.0,1000000000.0,3,,,,,,,,2024-09-23,0
7789,PEPERA,PEPERA,$0.0101038,0.00%,4.24%,11.33%,"$4,365","$3
263,121,428,180 PEPERA","420,690,000,000,000 PEPERA",420690000000000.0,420690000000000.0,3,,,,,,,6956.0,2024-09-23,0
7805,Brianwifhat,BIF,$0.079015,1.35%,3.31%,4.04%,"$37,864","$2
25,512,160 BIF","420,000,000,000 BIF",420000000000.0,420000000000.0,3,,,,,,,,2024-09-23,0
7811,Alan the Alien,ALAN,$0.067813,0.00%,0.04%,10.73%,"$33,871","$2
2,777,322 ALAN","43,349,998,826 ALAN",43349998826.0,,3,,,,,,,4186.0,2024-09-23,0
7818,DogePome,PME,$0.092243,0.00%,3.76%,19.64%,"$165,522","$2
8,873,010,878 PME","738,030,884,566,764 PME",1000000000000000.0,,3,,,,,,,,2024-09-23,0
7820,Solsponge,SOLSPONGE,$0.098066,0.00%,0.85%,8.78%,"$55,681","$2
2,429,811,008 SOLSPONGE","69,027,542,663,735 SOLSPONGE",69027542663735.0,,3,,,,,,,6184.0,2024-09-23,0
7824,cats wif hats in a dogs world,MEWSWIFHAT,$0.00007754,0.00%,1.24%,0.67%,"$77,541","$2
24,503 MEWSWIFHAT","1,000,000,000 MEWSWIFHAT",1000000000.0,,3,,,,,,,2960.0,2024-09-23,0
7826,Solana Kit,SOLKIT,$0.0003243,0.00%,3.81%,8.70%,"$32,432","$2
5,766 SOLKIT","100,000,000 SOLKIT",100000000.0,,3,,,,,,,2688.0,2024-09-23,0
7829,SUNGOAT,SUNGOAT,$0.00001291,0.00%,0.32%,3.50%,"$12,908","$2
141,777 SUNGOAT","1,000,000,000 SUNGOAT",1000000000.0,1000000000.0,3,,,,,,,,2024-09-23,0
7831,BABY SAFEMOON,BSFM,$0.009686,0.00%,6.84%,17.32%,"$8,984","$2
186 BSFM","927,538 BSFM",927538.0,927538.0,3,,,,,,,7994.0,2024-09-23,0
7839,Purrcoin,PURR,$0.00005216,0.36%,1.53%,7.74%,"$52,160","$2
32,976 PURR","1,000,000,000 PURR",1000000000.0,1000000000.0,3,,,,,,,3975.0,2024-09-23,0
7844,Lolo,LOLO,$0.00003003,0.00%,1.42%,11.36%,"$30,026","$2
52,954 LOLO","999,994,410 LOLO",999994410.0,999994410.0,3,,,,,,,,2024-09-23,0
7856,DUGE,DUGE,$0.052266,0.00%,3.59%,6.85%,"$156,371","$1
617,757 DUGE","68,999,560,000 DUGE",68999560000.0,,3,,,,,,,5849.0,2024-09-23,0
7870,HamsterBase,HB,$0.056172,0.00%,0.37%,11.94%,"$42,588","$1
204,144 HB","6,900,000,000 HB",10000000000.0,10000000000.0,3,,,,,,,,2024-09-23,0
7878,MOTO DOG,TOBI,$0.00001741,0.00%,4.20%,4.92%,"$17,414","$1
63,740 TOBI","1,000,000,000 TOBI",1000000000.0,,3,,,,,,,,2024-09-23,0
7903,MemeFi,MEMEFI,$0.0001039,0.00%,17.81%,21.24%,"$103,871","$0.83
7,991 MEMEFI","1,000,000,000 MEMEFI",1000000000.0,,3,,,,,,,,2024-09-23,0
7910,LERNITAS,2192,$0.0002592,0.00%,1.26%,0.40%,"$558,090","$0.76
2,932 2192","2,152,774,042 2192",2152774042.0,2152825932.0,3,,,,,,,4385.0,2024-09-23,0
7912,Black Sale,BLACKSALE,$0.0009514,0.00%,2.22%,14.08%,"$471,000","$0.74
778 BLACKSALE","495,075,056 BLACKSALE",0.0,495075056.0,3,,,,,,,,2024-09-23,0
7920,BABYTRUMP,BABYTRUMP,$0.4467,0.00%,3.90%,9.21%,"$44,669","$0.67
1 BABYTRUMP","100,000 BABYTRUMP",47000000.0,47000000.0,3,,,,,,,5183.0,2024-09-23,0
7921,Ponke BNB,PONKE BNB,$0.0136501,0.00%,8.17%,71.86%,"$24,052","$0.65
9,998,992,703,475 PONKE BNB","370,000,000,000,000,000 PONKE BNB",3.7e+17,3.7e+17,3,,,,,,,5763.0,2024-09-23,0
7923,ShibaPoconk,CONK,$0.092022,0.00%,0.78%,0.08%,"$197,206","$0.62
3,064,463,710 CONK","974,728,327,391,170 CONK",974986783840467.8,982119561162548.0,3,,,,,,,6766.0,2024-09-23,0
7924,ScamPump,SCAM,$0.007164,0.00%,4.33%,10.99%,"$441,321","$0.62
87 SCAM","61,602,561 SCAM",61602561.0,69000000.0,3,,,,,,,,2024-09-23,0
7925,Katy Perry Fans,KATYCAT,$0.000251,0.00%,3.70%,3.61%,"$25,095","$0.61
2,431 KATYCAT","100,000,000 KATYCAT",100000000.0,,3,,,,,,,2910.0,2024-09-23,0
7947,Flappy,$FLAPPY,$0.051282,0.00%,1.39%,9.42%,"$12,824","$0
278,295 $FLAPPY","9,999,999,719 $FLAPPY",420690000000.0,420690000000.0,3,,,,,,,,2024-09-23,0
7953,Bible of Memes,BIBO,$0.062782,0.00%,0.06%,9.57%,"$278,163","$0
1,202,800 BIBO","999,999,942,616 BIBO",999999942616.0,,3,,,,,,,6148.0,2024-09-23,0
7972,Book of Pets,BOP,$0.056701,0.00%,3.22%,0.54%,"$6,701","$0
25,766 BOP","999,999,861 BOP",999999861.0,,3,,,,,,,,2024-09-23,0
7973,Olaf Token,OT,$0.0102634,0.53%,4.30%,9.19%,"$4,214","$0
6,379,326,671 OT","160,000,000,000,000 OT",1000000000000000.0,1000000000000000.0,3,,,,,,,7544.0,2024-09-23,0
7982,Solana Ethereum Meme,ETHEREUM,$0.00001284,0.00%,0.77%,15.04%,"$12,841","$0
11,525 ETHEREUM","1,000,000,000 ETHEREUM",1000000000.0,1000000000.0,3,,,,,,,,2024-09-23,0
7983,BOOK OF DOGE MEMES,BOMEDOGE,$0.0001157,0.00%,3.68%,8.76%,"$88,465","$0
1,264 BOMEDOGE","764,800,000 BOMEDOGE",1000000000.0,1000000000.0,3,,,,,,,6916.0,2024-09-23,0
8002,FelixCoin,FELIX,$0.079256,0.00%,3.68%,13.13%,"$60,167","$0
825,738 FELIX","650,000,000,000 FELIX",650000000000.0,650000000000.0,3,,,,,,,8311.0,2024-09-23,0
8008,Rich Of Memes,ROME,$0.0009298,0.00%,1.57%,5.78%,"$9,298","$0
72 ROME","10,000,000 ROME",10000000.0,,3,,,,,,,5903.0,2024-09-23,0
8011,Punkko,PUN,$0.00005677,0.00%,1.18%,20.19%,"$56,765","$0
1,097 PUN","999,988,881 PUN",0.0,,3,,,,,,,2819.0,2024-09-23,0
8037,EGGY,EGGY,$0.001396,0.00%,1.49%,6.79%,"$139,616","$0
5 EGGY","100,000,000 EGGY",100000000.0,100000000.0,3,,,,,,,2747.0,2024-09-23,0
8043,LOL,LOL,$236.89,0.00%,0.00%,0.00%,"$23,689,275,446","$0
0 LOL","100,000,000 LOL",100000000.0,100000000.0,3,,,,,,,,2024-09-23,0
8225,ERC20,ERC20,$0.001493,0.00%,0.00%,60.18%,"$1,685,288",,"1,128,632,512 ERC20",1200000000.0,,3,,,,,123.0,580.0,1372.0,2024-09-23,1
8520,Shibaken Finance,SHIBAKEN,$0.0119125,0.00%,0.00%,19.54%,"$859,201",,"94,155,978,900,000,000 SHIBAKEN",1e+17,1e+17,3,,,,,,,7586.0,2024-09-23,0
8531,Vampire Inu,VAMPIRE,$0.00001685,0.00%,0.00%,3.78%,"$16,853",,"1,000,000,000 VAMPIRE",1000000000.0,,3,,,,,,,,2024-09-23,0
8552,CATO,CATO,$0.001393,0.00%,0.36%,13.51%,"$239,533",,"172,000,000 CATO",300000000.0,,3,,,,,,,5161.0,2024-09-23,0
8571,Shibaverse,VERSE,$0.00008606,0.00%,0.00%,16.02%,"$69,452",,"807,000,000 VERSE",1000000000.0,1000000000.0,3,,,,,,,9024.0,2024-09-23,0
8591,Shakita Inu,SHAK,$0.00004435,0.00%,4.87%,13.35%,"$325,434",,"7,337,434,222 SHAK",7400000000.0,,3,,,,,,,,2024-09-23,0
8611,Dinger Token,DINGER,$0.069619,0.00%,0.00%,10.96%,"$961,862",,"1,000,000,000,000 DINGER",1000000000000.0,,3,,,,,,,4762.0,2024-09-23,0
8643,Swole Doge,SWOLE,$0.053238,0.00%,0.00%,7.61%,"$22,665",,"7,000,000,000 SWOLE",9000000000.0,,3,,,,,,,5056.0,2024-09-23,0
8789,Kragger Inu,KINU,$0.00009997,0.02%,0.03%,0.01%,"$94,968",,"950,000,000 KINU",1000000000.0,1000000000.0,3,,,,,,,9234.0,2024-09-23,0
8937,Optimus Inu,OPINU,$0.00007978,0.00%,0.00%,0.87%,"$79,778",,"1,000,000,000 OPINU",1000000000.0,1000000000.0,3,,,,,,,6804.0,2024-09-23,0
8945,Frog Ceo,FROGCEO,$0.011117,0.00%,1.50%,12.12%,"$29,256",,"25,000,000,000,000,000 FROGCEO",1e+17,1e+17,3,,,,,,,8456.0,2024-09-23,0
8950,Ignore Fud,4TOKEN,$0.051066,0.00%,0.00%,5.57%,"$23,991",,"22,476,968,316 4TOKEN",38227769083.0,40000000000.0,3,,,,,,,6513.0,2024-09-23,0
8963,Feels Good Man,FGM,$0.056866,0.00%,1.63%,16.37%,"$476,669",,"69,420,000,000 FGM",69420000000.0,69420000000.0,3,,,,,,,3858.0,2024-09-23,0
8967,Pepito BSC,PEPI,$0.00004997,0.02%,0.05%,0.03%,"$49,973",,"1,000,000,000 PEPI",1000000000.0,1000000000.0,3,,,,,,,8079.0,2024-09-23,0
8969,Good Gensler,GENSLR,$0.093526,0.00%,0.00%,8.85%,"$133,276",,"378,000,000,000,000 GENSLR",420000000000000.0,420000000000000.0,3,,,,,,,5857.0,2024-09-23,0
8970,ARBSHIB,AISHIB,$0.0125059,0.00%,3.05%,8.12%,"$106,230",,"210,000,000,000,000,000 AISHIB",2.1e+17,2.1e+17,3,,,,,,,7032.0,2024-09-23,0
8971,POPO,POPO,$0.092202,0.00%,2.38%,15.24%,"$92,648",,"420,690,000,000,000 POPO",1000000000.0,,3,,,,,,,5143.0,2024-09-23,0
8974,Tate,TATE,$0.095219,0.00%,2.87%,19.28%,"$173,777",,"333,000,000,000,000 TATE",333000000000000.0,333000000000000.0,3,,,,,,,5453.0,2024-09-23,0
8976,PEPE COIN BSC,PPC,$0.0137745,0.00%,0.00%,9.62%,"$32,530",,"420,000,000,000,000,000 PPC",4.2e+17,4.2e+17,3,,,,,,,8188.0,2024-09-23,0
8978,Elon Musk,MUSK,$0.00001275,0.00%,0.00%,10.81%,"$127,518",,"10,000,000,000 MUSK",10000000000.0,10000000000.0,3,,,,,,,6692.0,2024-09-23,0
8987,Bart Simpson Coin,BART,$0.0121545,0.00%,1.52%,8.21%,"$13,988",,"90,518,048,731,259,104 BART",2.4e+17,2.4e+17,3,,,,,,,7473.0,2024-09-23,0
8988,Shrek ERC,SHREK,$0.079764,0.00%,0.00%,7.22%,"$97,645",,"1,000,000,000,000 SHREK",1000000000000.0,1000000000000.0,3,,,,,,,,2024-09-23,0
8989,Capybara,CAPY,$0.055394,0.00%,5.53%,30.20%,"$372,157",,"69,000,000,000 CAPY",69000000000.0,69000000000.0,3,,,,,,,5016.0,2024-09-23,0
8991,KEVIN,KEVIN,$0.061761,0.00%,0.00%,29.84%,"$121,495",,"690,000,000,000 KEVIN",690000000000.0,690000000000.0,3,,,,,,,6801.0,2024-09-23,0
8993,Spank,SPANK,$0.0001024,0.00%,0.00%,49.37%,"$2,151",,"21,000,000 SPANK",21000000.0,21000000.0,3,,,,,,,7867.0,2024-09-23,0
8997,Generational Wealth,GEN,$0.095054,0.00%,0.00%,2.36%,"$212,606",,"420,690,000,000,000 GEN",420690000000000.0,420690000000000.0,3,,,,,,,5726.0,2024-09-23,0
8998,Pepe Coin,PEPE,$0.093613,0.00%,0.00%,12.78%,"$151,987",,"420,690,000,000,000 PEPE",420690000000000.0,420690000000000.0,3,,,,,,,4957.0,2024-09-23,0
9002,Wagmi Coin,WAGMI,$0.094761,0.00%,11.47%,17.85%,$0,,"456,204,084 WAGMI",420690000000000.0,,3,,,,,,,4538.0,2024-09-23,0
9003,DSQ Solutions,DSQ,$0.0047,0.00%,0.00%,4.25%,"$333,620",,"70,980,131 DSQ",,,3,,,,,,,5826.0,2024-09-23,0
9008,Psyop,PSYOP,$0.00004574,0.00%,0.00%,0.25%,"$25,155,314",,"550,000,000,000 PSYOP",550000000000.0,550000000000.0,3,,,,,,,6693.0,2024-09-23,0
9012,Joey Inu,JOEY,$0.01116,1.44%,8.92%,15.79%,"$1,094,544",,"100,000,000 JOEY",100000000.0,100000000.0,3,,,,,,,,2024-09-23,0
9024,HUNDRED,HUNDRED,$0.00007485,0.00%,0.62%,2.18%,"$7,559,391",,"101,000,000,000 HUNDRED",101000000000.0,,3,,,,,,,,2024-09-23,0
9037,Jim,JIM,$0.054986,0.00%,0.00%,14.34%,"$1,088,196",,"218,232,000,000 JIM",420000000000.0,420000000000.0,3,,,,,,,3120.0,2024-09-23,0
9038,BankerCoinAda,BANK,$0.063339,0.00%,0.00%,2.79%,"$804,632",,"2,410,000,000,000 BANK",2500000000000.0,2500000000000.0,3,,,,,,,4905.0,2024-09-23,0
9046,Dummy,DUMMY,$0.061003,0.00%,0.00%,6.62%,"$699,219",,"6,969,696,969,696 DUMMY",6969696969696.0,6969696969696.0,3,,,,,,,6890.0,2024-09-23,0
9047,Ben's Finale,FINALE,$0.052793,0.00%,0.00%,10.75%,"$153,604",,"55,000,000,000 FINALE",55000000000.0,55000000000.0,3,,,,,,,6477.0,2024-09-23,0
9050,President Donald Trump,DON,$0.010823,0.00%,0.00%,14.58%,"$82,309",,"1,000,000,000,000,000 DON",1000000000000000.0,1000000000000000.0,3,,,,,,,6480.0,2024-09-23,0
9051,BNB Tiger AI,AITIGER,$0.0203468,0.00%,0.00%,0.00%,"$34,680",,NaN AITIGER,0.0,,3,,,,,,,7539.0,2024-09-23,0
9054,popo,POPO,$0.0104411,0.00%,0.13%,1.41%,"$18,556",,"420,690,000,000,000 POPO",420690000000000.0,420690000000000.0,3,,,,,,,6604.0,2024-09-23,0
9055,Dogeclub,DOGC,$0.097148,0.00%,3.78%,19.33%,"$1,291,290",,"1,806,604,290,200,000 DOGC",0.0,200511020000000.0,3,,,,,,,4809.0,2024-09-23,0
9058,David Vance,DAVID,$0.00009851,0.00%,0.00%,5.91%,"$9,851",,"100,000,000 DAVID",100000000.0,,3,,,,,,,,2024-09-23,0
9064,Jerome Powell,POWELL,$0.0005275,0.00%,0.00%,3.00%,"$52,345",,"99,235,301 POWELL",100000000.0,100000000.0,3,,,,,,,6716.0,2024-09-23,0
9065,L,$L,$0.0616,0.02%,0.01%,59.99%,"$113,939",,"711,983,561,375 $L",1000000000000.0,1000000000000.0,3,,,,,,,4252.0,2024-09-23,0
9076,Peepa,PEEPA,$0.095671,0.00%,7.22%,132.77%,"$238,630",,"420,690,000,000,000 PEEPA",420690000000000.0,420690000000000.0,3,,,,,,,,2024-09-23,0
9079,Baby Doge 2.0,BABYDOGE2.0,$0.096769,0.00%,2.99%,9.26%,"$467,075",,"690,000,000,000,000 BABYDOGE2.0",690000000000000.0,690000000000000.0,3,,,,,,,5699.0,2024-09-23,0
9086,XAI,X,$0.0125778,0.00%,0.00%,47.61%,"$121,340",,"210,000,000,000,000,000 X",100000000000000.0,100000000000000.0,3,,,,,,,5918.0,2024-09-23,0
9088,XDOGE,XDOGE,$0.083964,0.00%,3.51%,1.57%,"$1,664,936",,"420,000,000,000,000 XDOGE",420000000000000.0,420000000000000.0,3,,,,,,,6992.0,2024-09-23,0
9090,CRYPTO,CRYPTO,$0.003298,0.00%,1.46%,15.66%,"$32,975",,"10,000,000 CRYPTO",10000000.0,10000000.0,3,,,,,,,5664.0,2024-09-23,0
9092,HarryPotterTrumpHomerSimpson777Inu,,$0.0002956,0.00%,1.87%,18.60%,"$295,637",,"1,000,000,000 ETHEREUM",1000000000.0,1000000000.0,3,,,,,,,5877.0,2024-09-23,0
9093,BNB DOG INU,BNBDOG,$0.0133278,0.00%,0.02%,19.05%,$3,,"100,000,000,000,000 BNBDOG",1.96e+18,1.96e+18,3,,,,,,,3642.0,2024-09-23,0
9097,OLYMPIC GAMES DOGE,OGD,$0.0116979,0.00%,1.89%,7.50%,"$6,944",,"994,990,656,428,962 OGD",1000000000000000.0,1000000000000000.0,3,,,,,,,6961.0,2024-09-23,0
9101,BNBcat,BNBCAT,$0.0102121,0.00%,0.00%,16.55%,"$21,152",,"997,250,382,346,083 BNBCAT",1000000000.0,1000000000.0,3,,,,,,,6648.0,2024-09-23,0
9110,SHIBU INU,SHIBU,$0.0101251,0.00%,1.14%,6.88%,"$11,894",,"950,611,790,624,463 SHIBU",950611790624463.0,950611790624463.0,3,,,,,,,7427.0,2024-09-23,0
9111,DOLLAR SHIBA INU,DSHIB,$0.011595,0.00%,2.65%,7.70%,"$5,935",,"997,396,383,709,517 DSHIB",997396383709517.0,997396383709517.0,3,,,,,,,7868.0,2024-09-23,0
9112,JOEBIDEN2024,JOEBIDEN2024,$0.0181362,2.71%,2.71%,13.50%,$0,,"812,835,010,000,000,000 JOEBIDEN2024",8.1283501e+17,8.1283501e+17,3,,,,,,,7616.0,2024-09-23,0
9114,Babypepe (BSC),BABYPEPE,$0.092046,0.00%,0.00%,3.37%,"$20,456",,"100,000,000,000,000 BABYPEPE",100000000000000.0,100000000000000.0,3,,,,,,,7060.0,2024-09-23,0
9115,CRAZY MUSK,CRAZYMUSK,$0.0217859,0.00%,0.00%,0.00%,$0,,"995,091,399,237,024,640 CRAZYMUSK",9.950913992370246e+17,9.950913992370246e+17,3,,,,,,,7102.0,2024-09-23,0
9116,Dogs Rock,DOGSROCK,$0.0111267,0.00%,0.00%,3.65%,"$126,688",,"100,000,000,000,000,000 DOGSROCK",1e+17,1e+17,3,,,,,,,7566.0,2024-09-23,0
9117,NBA BSC,NBABSC,$0.054966,0.00%,1.45%,8.08%,"$4,962",,"999,108,442 NBABSC",999108442.0,999108442.0,3,,,,,,,7122.0,2024-09-23,0
9119,UFC WIN,UFC,$0.0136335,0.00%,1.35%,7.45%,"$6,333",,"99,970,722,149,769,248 UFC",9.997072214976925e+16,9.997072214976925e+16,3,,,,,,,7110.0,2024-09-23,0
9124,PAW PATROL INU,PAW,$0.0121083,0.00%,0.64%,6.73%,"$10,819",,"99,906,319,919,539,952 PAW",9.990631991953997e+16,9.990631991953997e+16,3,,,,,,,6760.0,2024-09-23,0
9126,Apu,APU,$0.06117,0.01%,0.03%,5.40%,"$49,138",,"420,000,000,000 APU",420000000000.0,420000000000.0,3,,,,,,,5090.0,2024-09-23,0
9127,Shitcoin,SHIT,$0.071135,0.00%,4.80%,15.61%,"$126,641",,"11,161,010,214,348 SHIT",100000000.0,100000000.0,3,,,,,,,5573.0,2024-09-23,0
9128,BNBtiger 2.0,BNBTIGER,$0.0122012,0.00%,0.85%,16.44%,"$20,110",,"99,972,123,027,470,688 BNBTIGER",9.997212302747069e+16,9.997212302747069e+16,3,,,,,,,6800.0,2024-09-23,0
9129,BNB Whales,BNB WHALES,$0.0123303,0.00%,0.00%,5.17%,"$16,186",,"49,000,000,000,000,000 BNB WHALES",1e+17,1e+17,3,,,,,,,7452.0,2024-09-23,0
9130,ETH 2.0,ETH 2.0,$0.0134022,0.00%,0.00%,1.01%,"$16,920",,"420,690,000,000,000,000 ETH 2.0",4.2e+17,4.2e+17,3,,,,,,,6041.0,2024-09-23,0
9132,Baby Luffy,BLF,$0.0004202,0.01%,0.08%,26.30%,"$4,202",,"10,000,000 BLF",10000000.0,10000000.0,3,,,,,,,8050.0,2024-09-23,0
9133,The SIMPSONS BNB,SIMPSONS,$0.0121298,0.00%,1.06%,6.79%,"$8,041",,"61,943,945,779,787,176 SIMPSONS",6.1943945779787176e+16,6.1943945779787176e+16,3,,,,,,,7183.0,2024-09-23,0
9134,XSHIB,XSHIB,$0.0133942,0.00%,0.00%,1.70%,"$16,584",,"420,690,000,000,000,000 XSHIB",,,3,,,,,,,7955.0,2024-09-23,0
9136,DOGE SATELLITE INU,DOGE,$0.02133,0.00%,0.00%,0.00%,$0,,"999,651,425,447,668,096 DOGE",9.99651425447668e+17,9.99651425447668e+17,3,,,,,,,7792.0,2024-09-23,0
9146,DogeBoy,DOGB,$0.088999,0.01%,0.03%,0.00%,"$8,998",,"1,000,000,000,000 DOGB",1200000000000.0,,3,,,,,,,9626.0,2024-09-23,0
9149,FLOKI X,FLOKIX,$0.001939,0.00%,1.58%,11.96%,"$1,939",,"999,942 FLOKIX",999942.0,999942.0,3,,,,,,,6955.0,2024-09-23,0
9155,Satellite Doge-1,DOGE-1,$0.0133445,0.00%,1.62%,10.62%,"$14,492",,"420,690,000,000,000,000 DOGE-1",4.2069e+17,4.2069e+17,3,,,,,,,6682.0,2024-09-23,0
9157,Froge (BSC),FROGE,$0.0131235,0.00%,0.00%,0.75%,"$8,526",,"690,420,000,000,000,000 FROGE",6.9042e+17,6.9042e+17,3,,,,,,,,2024-09-23,0
9161,Baby Grok,BABYGROK,$0.0121217,0.00%,0.00%,21.60%,"$51,114",,"420,000,000,000,000,000 BABYGROK",4.1817194679156896e+17,,3,,,,,,,2641.0,2024-09-23,0
9162,CRAZY DOGE,CRAZYDOGE,$0.0138668,0.00%,1.25%,11.79%,"$8,667",,"99,974,325,860,689,920 CRAZYDOGE",9.997432586068992e+16,9.997432586068992e+16,3,,,,,,,7129.0,2024-09-23,0
9164,GROK,GROK,$0.086788,0.00%,3.86%,17.13%,"$4,683,711",,"690,000,000,000,000 GROK",690000000000000.0,690000000000000.0,3,,,,,,,5832.0,2024-09-23,0
9165,Droggy,DROGGY,$0.086999,0.01%,12.52%,133.33%,"$14,165",,"2,024,000,000,000 DROGGY",2024000000000.0,2024000000000.0,3,,,,,,,7948.0,2024-09-23,0
9167,Dawg Coin,DAWG,$0.0001876,0.00%,0.00%,4.15%,"$181,029",,"964,770,000 DAWG",1000000000.0,1000000000.0,3,,,,,,,3577.0,2024-09-23,0
9168,Grok Elo,GELO,$0.0138619,0.00%,0.00%,6.98%,"$36,201",,"420,000,000,000,000,000 GELO",4.2e+17,4.2e+17,3,,,,,,,7595.0,2024-09-23,0
9170,GTA VI,GTA6,$0.0132009,0.00%,0.83%,4.80%,"$40,688",,"2,025,000,000,000,000,000 GTA6",2.025e+18,2.025e+18,3,,,,,,,9643.0,2024-09-23,0
9175,Red Ponzi Gud,RPG,$0.09323,0.00%,0.00%,229.08%,"$32,295",,"100,000,000,000,000 RPG",100000000000000.0,100000000000000.0,3,,,,,,,7748.0,2024-09-23,0
9177,Grok Inu,GROKINU,$0.0122352,0.00%,1.57%,11.55%,"$98,801",,"420,000,690,000,000,000 GROKINU",4.2000069e+17,4.2000069e+17,3,,,,,,,7480.0,2024-09-23,0
9181,SonicObamaLockheedMartin69Inu,,$0.0107673,0.00%,0.00%,8.58%,"$30,665",,"399,650,218,335,316 SOL",399650218335316.0,,3,,,,,,,9654.0,2024-09-23,0
9184,Bear Coin on Avax,BEAR,$0.062483,0.00%,0.00%,13.13%,"$104,457",,"420,690,000,000 BEAR",420690000000.0,420690000000.0,3,,,,,,,5358.0,2024-09-23,0
