id,name,symbol,slug,cmcRank,circulatingSupply,totalSupply,maxSupply,lastUpdated,dateAdded,tags,quotes,url,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,timestamp
512,Stellar,XLM,stellar,21,5485679598.0,100804167793.0,,2016-07-03T23:59:11.000Z,2014-08-05T00:00:00.000Z,,"[{'name': '2781', 'price': 0.00192795, 'volume24h': 49340.140625, 'marketCap': 10576117.00489324, 'percentChange1h': -0.630035, 'percentChange24h': -4.9593, 'percentChange7d': -4.05167, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 2.73e-06, 'volume24h': 69.98918408, 'marketCap': 15002.26368504, 'percentChange1h': -0.630035, 'percentChange24h': -4.9593, 'percentChange7d': -4.05167, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#512,2014-08-05T00:00:00.000Z,,5485679598.0,100804167793.0,,21,2016-07-03T23:59:11.000Z,2024-09-24T15:29:42Z
5,Peercoin,PPC,peercoin,22,23284793.9895654,23284793.9895654,,2016-07-03T23:59:00.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.39817226, 'volume24h': 59972.07421875, 'marketCap': 9271359.03087632, 'percentChange1h': -0.645242, 'percentChange24h': -6.00564, 'percentChange7d': 1.61561, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00056481, 'volume24h': 85.07062382, 'marketCap': 13151.45935276, 'percentChange1h': -0.645242, 'percentChange24h': -6.00564, 'percentChange7d': 1.61561, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#5,2013-04-28T00:00:00.000Z,,23284793.9895654,23284793.9895654,,22,2016-07-03T23:59:00.000Z,2024-09-24T15:29:42Z
372,Bytecoin,BCN,bytecoin-bcn,23,180723458744.78,180723458744.78,184470000000.0,2016-07-03T23:59:09.000Z,2014-06-17T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 4.421e-05, 'volume24h': 945.03808594, 'marketCap': 7990424.31016592, 'percentChange1h': -0.779047, 'percentChange24h': 1.60137, 'percentChange7d': 27.208, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 6e-08, 'volume24h': 1.34054025, 'marketCap': 11334.44839926, 'percentChange1h': -0.779047, 'percentChange24h': 1.60137, 'percentChange7d': 27.208, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#372,2014-06-17T00:00:00.000Z,184470000000.0,180723458744.78,180723458744.78,,23,2016-07-03T23:59:09.000Z,2024-09-24T15:29:42Z
132,Counterparty,XCP,counterparty,24,2626244.0783785,2626244.0783785,,2016-07-03T23:59:05.000Z,2014-02-15T00:00:00.000Z,,"[{'name': '2781', 'price': 2.74291825, 'volume24h': 43865.62890625, 'marketCap': 7203572.81927298, 'percentChange1h': -2.639, 'percentChange24h': 15.7172, 'percentChange7d': 58.4447, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00389084, 'volume24h': 62.22356762, 'marketCap': 10218.29645598, 'percentChange1h': -2.639, 'percentChange24h': 15.7172, 'percentChange7d': 58.4447, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#132,2014-02-15T00:00:00.000Z,,2626244.0783785,2626244.0783785,,24,2016-07-03T23:59:05.000Z,2024-09-24T15:29:42Z
321,NautilusCoin,NAUT,nautiluscoin,25,12829895.2687433,16180000.0,,2016-07-03T23:59:08.000Z,2014-05-15T00:00:00.000Z,,"[{'name': '2781', 'price': 0.48909003, 'volume24h': 48081.05859375, 'marketCap': 6274973.8031892, 'percentChange1h': 6.55066, 'percentChange24h': 18.5698, 'percentChange7d': 268.602, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00069378, 'volume24h': 68.20317125, 'marketCap': 8901.07508915, 'percentChange1h': 6.55066, 'percentChange24h': 18.5698, 'percentChange7d': 268.602, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#321,2014-05-15T00:00:00.000Z,,12829895.2687433,16180000.0,,25,2016-07-03T23:59:08.000Z,2024-09-24T15:29:42Z
825,Tether,USDT,tether,26,5951591.0,5951591.0,,2016-07-03T23:59:17.000Z,2015-02-25T00:00:00.000Z,,"[{'name': '2781', 'price': 1.0, 'volume24h': 1161671.75, 'marketCap': 5951591.0, 'percentChange1h': 0, 'percentChange24h': 0, 'percentChange7d': -0.000745301, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.0014185, 'volume24h': 1647.83595916, 'marketCap': 8442.35530736, 'percentChange1h': 0, 'percentChange24h': 0, 'percentChange7d': -0.000745301, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#825,2015-02-25T00:00:00.000Z,,5951591.0,5951591.0,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",26,2016-07-03T23:59:17.000Z,2024-09-24T15:29:42Z
3,Namecoin,NMC,namecoin,27,14676900.0,14676900.0,,2016-07-03T23:59:00.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.39081264, 'volume24h': 17719.59375, 'marketCap': 5735917.96882153, 'percentChange1h': -1.5842, 'percentChange24h': -4.59584, 'percentChange7d': 5.39739, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00055437, 'volume24h': 25.13531362, 'marketCap': 8136.42226199, 'percentChange1h': -1.5842, 'percentChange24h': -4.59584, 'percentChange7d': 5.39739, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#3,2013-04-28T00:00:00.000Z,,14676900.0,14676900.0,,27,2016-07-03T23:59:00.000Z,2024-09-24T15:29:42Z
95,YbCoin,YBC,ybcoin,28,3010539.7867074,3010539.7867074,,2016-07-03T23:59:03.000Z,2014-01-16T00:00:00.000Z,,"[{'name': '2781', 'price': 1.89295495, 'volume24h': 20254.19140625, 'marketCap': 5698816.17806578, 'percentChange1h': 0, 'percentChange24h': -1.58182, 'percentChange7d': -1.91648, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00268516, 'volume24h': 28.73065039, 'marketCap': 8083.79322547, 'percentChange1h': 0, 'percentChange24h': -1.58182, 'percentChange7d': -1.91648, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#95,2014-01-16T00:00:00.000Z,,3010539.7867074,3010539.7867074,,28,2016-07-03T23:59:03.000Z,2024-09-24T15:29:42Z
549,Storjcoin X,SJCX,storjcoin-x,29,49518143.0,500000000.0,,2016-07-03T23:59:12.000Z,2014-08-20T00:00:00.000Z,,"[{'name': '2781', 'price': 0.1098178, 'volume24h': 15547.74023438, 'marketCap': 5437973.29930802, 'percentChange1h': -0.521983, 'percentChange24h': -4.84779, 'percentChange7d': 1.74167, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00015578, 'volume24h': 22.05453084, 'marketCap': 7713.78657315, 'percentChange1h': -0.521983, 'percentChange24h': -4.84779, 'percentChange7d': 1.74167, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#549,2014-08-20T00:00:00.000Z,,49518143.0,500000000.0,,29,2016-07-03T23:59:12.000Z,2024-09-24T15:29:42Z
290,BlueCoin,BLU,bluecoin,30,571902014.235592,571902014.235592,,2016-07-03T23:59:08.000Z,2014-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.00734054, 'volume24h': 747.88830566, 'marketCap': 4198071.5776326, 'percentChange1h': 2.04082, 'percentChange24h': 46.0906, 'percentChange7d': 893.434, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 1.041e-05, 'volume24h': 1.06088251, 'marketCap': 5954.98109062, 'percentChange1h': 2.04082, 'percentChange24h': 46.0906, 'percentChange7d': 893.434, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#290,2014-04-28T00:00:00.000Z,,571902014.235592,571902014.235592,,30,2016-07-03T23:59:08.000Z,2024-09-24T15:29:43Z
1168,Decred,DCR,decred,31,2052789.82514803,2892789.82514803,21000000.0,2016-07-03T23:59:27.000Z,2016-02-10T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 1.95546663, 'volume24h': 28904.5, 'marketCap': 4014161.99752817, 'percentChange1h': -0.438418, 'percentChange24h': -3.18359, 'percentChange7d': 25.7235, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00277384, 'volume24h': 41.00114725, 'marketCap': 5694.10462588, 'percentChange1h': -0.438418, 'percentChange24h': -3.18359, 'percentChange7d': 25.7235, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#1168,2016-02-10T00:00:00.000Z,21000000.0,2052789.82514803,2892789.82514803,,31,2016-07-03T23:59:27.000Z,2024-09-24T15:29:43Z
233,SolarCoin,SLR,solarcoin,32,34349890.6594391,98033930775.389,,2016-07-03T23:59:07.000Z,2014-03-29T00:00:00.000Z,,"[{'name': '2781', 'price': 0.1041757, 'volume24h': 3446.51782227, 'marketCap': 3578423.96405017, 'percentChange1h': -0.850809, 'percentChange24h': 13.8179, 'percentChange7d': -17.8503, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00014777, 'volume24h': 4.88889912, 'marketCap': 5076.00850678, 'percentChange1h': -0.850809, 'percentChange24h': 13.8179, 'percentChange7d': -17.8503, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#233,2014-03-29T00:00:00.000Z,,34349890.6594391,98033930775.389,,32,2016-07-03T23:59:07.000Z,2024-09-24T15:29:43Z
576,GameCredits,GAME,gamecredits,33,55962252.1432747,55962252.1432747,84000000.0,2016-07-03T23:59:13.000Z,2014-09-01T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.05949191, 'volume24h': 28332.28515625, 'marketCap': 3329301.27016468, 'percentChange1h': -0.842755, 'percentChange24h': -4.80935, 'percentChange7d': 28.8558, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 8.439e-05, 'volume24h': 40.18945824, 'marketCap': 4722.62698293, 'percentChange1h': -0.842755, 'percentChange24h': -4.80935, 'percentChange7d': 28.8558, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#576,2014-09-01T00:00:00.000Z,84000000.0,55962252.1432747,55962252.1432747,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x63f88a2298a5c4aee3c216aa6d926b184a4b2437'}",33,2016-07-03T23:59:13.000Z,2024-09-24T15:29:43Z
