id,name,symbol,slug,cmcRank,circulatingSupply,totalSupply,maxSupply,lastUpdated,dateAdded,tags,quotes,url,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,timestamp
25,GoldCoin,GLC,goldcoin,21,25661660.0,25661660.0,72245700.0,2013-08-11T23:56:16.000Z,2013-06-14T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.00205168, 'volume24h': 0.0, 'marketCap': 52649.41001834, 'percentChange1h': -9.17696, 'percentChange24h': -5.56288, 'percentChange7d': 1.69754, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 1.992e-05, 'volume24h': 0.0, 'marketCap': 511.15935843, 'percentChange1h': -9.17696, 'percentChange24h': -5.56288, 'percentChange7d': 1.69754, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#25,2013-06-14T00:00:00.000Z,72245700.0,25661660.0,25661660.0,,21,2013-08-11T23:56:16.000Z,2024-09-24T14:59:05Z
12,BBQCoin,BQC,bbqcoin,22,22285962.0,22285962.0,,2013-08-11T23:56:07.000Z,2013-05-08T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.0021105, 'volume24h': 0.0, 'marketCap': 47034.52031965, 'percentChange1h': -22.5786, 'percentChange24h': -18.0689, 'percentChange7d': -27.974, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 2.049e-05, 'volume24h': 0.0, 'marketCap': 456.64586217, 'percentChange1h': -22.5786, 'percentChange24h': -18.0689, 'percentChange7d': -27.974, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#12,2013-05-08T00:00:00.000Z,,22285962.0,22285962.0,,22,2013-08-11T23:56:07.000Z,2024-09-24T14:59:05Z
32,Fastcoin,FST,fastcoin,23,17146848.0,17146848.0,165888000.0,2013-08-11T23:56:28.000Z,2013-07-04T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.00236355, 'volume24h': 0.0, 'marketCap': 40527.43278019, 'percentChange1h': 1.4913, 'percentChange24h': 3.22731, 'percentChange7d': -42.9904, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 2.295e-05, 'volume24h': 0.0, 'marketCap': 393.47025031, 'percentChange1h': 1.4913, 'percentChange24h': 3.22731, 'percentChange7d': -42.9904, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#32,2013-07-04T00:00:00.000Z,165888000.0,17146848.0,17146848.0,,23,2013-08-11T23:56:28.000Z,2024-09-24T14:59:05Z
11,CHNCoin,CNC,chncoin,24,5256730.0,5256730.0,,2013-08-11T23:56:06.000Z,2013-05-08T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.00714, 'volume24h': 0.0, 'marketCap': 37533.05159607, 'percentChange1h': 0.147124, 'percentChange24h': 1.86571, 'percentChange7d': -25.761, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 6.932e-05, 'volume24h': 0.0, 'marketCap': 364.39858618, 'percentChange1h': 0.147124, 'percentChange24h': 1.86571, 'percentChange7d': -25.761, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#11,2013-05-08T00:00:00.000Z,,5256730.0,5256730.0,,24,2013-08-11T23:56:06.000Z,2024-09-24T14:59:05Z
22,Luckycoin,LKY,luckycoin,25,5928440.0,5928440.0,,2013-08-11T23:56:16.000Z,2013-06-14T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.0044793, 'volume24h': 0.0, 'marketCap': 26555.26265994, 'percentChange1h': 0.456777, 'percentChange24h': 8.52527, 'percentChange7d': -10.8473, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 4.349e-05, 'volume24h': 0.0, 'marketCap': 257.81810317, 'percentChange1h': 0.456777, 'percentChange24h': 8.52527, 'percentChange7d': -10.8473, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#22,2013-06-14T00:00:00.000Z,,5928440.0,5928440.0,,25,2013-08-11T23:56:16.000Z,2024-09-24T14:59:05Z
19,Franko,FRK,franko,26,45285.30078125,45285.30078125,,2013-08-11T23:56:15.000Z,2013-06-09T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.46723321, 'volume24h': 0.0, 'marketCap': 21158.79648616, 'percentChange1h': 0.18197, 'percentChange24h': 12.9418, 'percentChange7d': -20.7848, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00453625, 'volume24h': 0.0, 'marketCap': 205.42522382, 'percentChange1h': 0.18197, 'percentChange24h': 12.9418, 'percentChange7d': -20.7848, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#19,2013-06-09T00:00:00.000Z,,45285.30078125,45285.30078125,,26,2013-08-11T23:56:15.000Z,2024-09-24T14:59:05Z
15,Bytecoin,BTE,bytecoin-bte,27,927750.0,927750.0,,2013-08-11T23:56:11.000Z,2013-05-10T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.0186858, 'volume24h': 0.0, 'marketCap': 17335.75010765, 'percentChange1h': 0.183761, 'percentChange24h': 9.19175, 'percentChange7d': 4.66377, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00018142, 'volume24h': 0.0, 'marketCap': 168.30826594, 'percentChange1h': 0.183761, 'percentChange24h': 9.19175, 'percentChange7d': 4.66377, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#15,2013-05-10T00:00:00.000Z,,927750.0,927750.0,,27,2013-08-11T23:56:11.000Z,2024-09-24T14:59:05Z
14,BitBar,BTB,bitbar,28,4944.95849609375,4944.95849609375,,2013-08-11T23:56:08.000Z,2013-05-09T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 3.1500001, 'volume24h': 0.0, 'marketCap': 15576.61973428, 'percentChange1h': 0.147127, 'percentChange24h': 1.90433, 'percentChange7d': -6.72409, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.03058253, 'volume24h': 0.0, 'marketCap': 151.22932901, 'percentChange1h': 0.147127, 'percentChange24h': 1.90433, 'percentChange7d': -6.72409, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#14,2013-05-09T00:00:00.000Z,,4944.95849609375,4944.95849609375,,28,2013-08-11T23:56:08.000Z,2024-09-24T14:59:05Z
43,Anoncoin,ANC,anoncoin,29,375132.8125,375132.8125,,2013-08-11T23:56:30.000Z,2013-07-15T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.0399, 'volume24h': 0.0, 'marketCap': 14967.79964582, 'percentChange1h': 0.183775, 'percentChange24h': 0.784261, 'percentChange7d': -57.9941, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00038738, 'volume24h': 0.0, 'marketCap': 145.31845393, 'percentChange1h': 0.183775, 'percentChange24h': 0.784261, 'percentChange7d': -57.9941, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#43,2013-07-15T00:00:00.000Z,,375132.8125,375132.8125,,29,2013-08-11T23:56:30.000Z,2024-09-24T14:59:05Z
29,Bottlecaps,CAP,bottlecaps,30,700193.75,700193.75,,2013-08-11T23:56:17.000Z,2013-07-04T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.0209979, 'volume24h': 0.0, 'marketCap': 14702.59870428, 'percentChange1h': 4.87766, 'percentChange24h': 11.2426, 'percentChange7d': -25.966, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00020386, 'volume24h': 0.0, 'marketCap': 142.74368731, 'percentChange1h': 4.87766, 'percentChange24h': 11.2426, 'percentChange7d': -25.966, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#29,2013-07-04T00:00:00.000Z,,700193.75,700193.75,,30,2013-08-11T23:56:17.000Z,2024-09-24T14:59:05Z
31,Argentum,ARG,argentum,31,392278.0,392278.0,,2013-08-11T23:56:17.000Z,2013-07-04T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.03160605, 'volume24h': 0.0, 'marketCap': 12398.3574329, 'percentChange1h': 0.183765, 'percentChange24h': -12.6468, 'percentChange7d': -27.1234, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00030685, 'volume24h': 0.0, 'marketCap': 120.37241118, 'percentChange1h': 0.183765, 'percentChange24h': -12.6468, 'percentChange7d': -27.1234, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#31,2013-07-04T00:00:00.000Z,,392278.0,392278.0,,31,2013-08-11T23:56:17.000Z,2024-09-24T14:59:06Z
39,CraftCoin,CRC,craftcoin,32,93302.0,93302.0,,2013-08-11T23:56:30.000Z,2013-07-07T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.1201074, 'volume24h': 0.0, 'marketCap': 11206.26039568, 'percentChange1h': -4.5015, 'percentChange24h': 16.6209, 'percentChange7d': -11.918, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00116609, 'volume24h': 0.0, 'marketCap': 108.79865268, 'percentChange1h': -4.5015, 'percentChange24h': 16.6209, 'percentChange7d': -11.918, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#39,2013-07-07T00:00:00.000Z,,93302.0,93302.0,,32,2013-08-11T23:56:30.000Z,2024-09-24T14:59:06Z
34,Bitgem,BTG,bitgem,33,18481.498046875,18481.498046875,,2013-08-11T23:56:28.000Z,2013-07-04T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.58910775, 'volume24h': 0.0, 'marketCap': 10887.59376515, 'percentChange1h': 0.183768, 'percentChange24h': -8.35511, 'percentChange7d': -19.0148, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00571949, 'volume24h': 0.0, 'marketCap': 105.70480167, 'percentChange1h': 0.183768, 'percentChange24h': -8.35511, 'percentChange7d': -19.0148, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#34,2013-07-04T00:00:00.000Z,,18481.498046875,18481.498046875,,33,2013-08-11T23:56:28.000Z,2024-09-24T14:59:06Z
36,AlphaCoin,ALF,alphacoin,34,10164050.0,10164050.0,,2013-08-11T23:56:29.000Z,2013-07-07T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.00105, 'volume24h': 0.0, 'marketCap': 10672.25211947, 'percentChange1h': 3.73399, 'percentChange24h': 21.9383, 'percentChange7d': -6.83896, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 1.019e-05, 'volume24h': 0.0, 'marketCap': 103.61410592, 'percentChange1h': 3.73399, 'percentChange24h': 21.9383, 'percentChange7d': -6.83896, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#36,2013-07-07T00:00:00.000Z,,10164050.0,10164050.0,,34,2013-08-11T23:56:29.000Z,2024-09-24T14:59:06Z
