Ranking,Name,Token,Price,One_Hour_Percentage,TwentyFour_Hour_Percentage,Seven_Days_Percentage,Market_Cap,Volume_24h,Circulating_Supply,Total_Supply,Max_Supply,Class,Halving_1_RankIndex,Halving_1_Plus250_RankIndex,Halving_2_RankIndex,Halving_2_Plus250_RankIndex,Halving_3_RankIndex,Halving_3_Plus250_RankIndex,Halving_4_RankIndex,Capture_Date
4493,Sheertopia,AMBO,$0.004956,0.41%,16.10%,11.69%,,,"1,200,000 AMBO",42000000.0,42000000.0,1,,,,,,,3633.0,2024-09-23
4508,PanoVerse,PANO,$0.07476,0.00%,5.47%,66.65%,,,"28,000,000 PANO",28000000.0,28000000.0,1,,,,,,,5430.0,2024-09-23
4544,BitBrawl,BRAWL,$0.0005446,0.25%,4.21%,18.29%,,,"969,550,000 BRAWL",10000000000.0,,1,,,,,,,3242.0,2024-09-23
4551,Warped Games,WARPED,$0.001054,0.01%,1.46%,6.19%,,,"5,436,328,567 WARPED",10000000000.0,10000000000.0,1,,,,,,,5770.0,2024-09-23
4606,Meme Kombat,MK,$0.05549,0.87%,0.06%,11.23%,,,"120,000,000 MK",120000000.0,120000000.0,1,,,,,,,3826.0,2024-09-23
4648,CasinoCoin,CSC,$0.0001206,6.73%,4.69%,6.75%,,,"41,290,000,000 CSC",65000000000.0,65000000000.0,1,,37.0,187.0,177.0,689.0,747.0,5277.0,2024-09-23
4650,Realm,REALM,$0.0008484,0.68%,15.63%,12.56%,,,"940,857,033 REALM",1000000000.0,1000000000.0,1,,,,,,,3714.0,2024-09-23
4676,Army of Fortune Coin,AFC,$0.055629,0.00%,0.78%,4.08%,,,"101,000,000,000 AFC",101000000000.0,101000000000.0,1,,,,,,,5407.0,2024-09-23
4688,Merit Circle,MC,$1.77,0.00%,4.42%,30.83%,,,"322,101,826 MC",669811161.0,,1,,,,,,,3435.0,2024-09-23
4764,Heroes & Empires,HE,$0.001129,0.48%,2.62%,3.16%,,,"143,594,679 HE",313989005.5,,1,,,,,,,4192.0,2024-09-23
4790,Derby Stars,DSRUN,$0.01222,0.29%,0.37%,6.58%,,,"168,439,111 DSRUN",500000000.0,500000000.0,1,,,,,,,4221.0,2024-09-23
4791,MetaTrace Utility Token,ACE,$0.0001417,1.17%,0.74%,15.66%,,,"11,388,473 ACE",25715443.0,28075430.0,1,,,,,,,,2024-09-23
4804,REAKTOR,RKR,$0.054739,2.33%,11.22%,59.08%,,,"182,143,425,518 RKR",354712013216.0,2000000000000.0,1,,,,,,,5335.0,2024-09-23
4808,Devikins,DVK,$0.0002832,0.12%,16.34%,31.33%,,,"2,749,746,411 DVK",10000000000.0,10000000000.0,1,,,,,,,5794.0,2024-09-23
4819,TridentDAO,PSI,$0.004826,0.03%,5.00%,58.66%,,,"2,097,902 PSI",2170689.0,2170689.0,1,,,,,,,4037.0,2024-09-23
4967,WASD Studios,WASD,$0.0009732,0.00%,18.76%,137.81%,,,"900,000,000 WASD",1000000000.0,1000000000.0,1,,,,,,,5276.0,2024-09-23
4985,Nirvana,VANA,$0.001072,0.02%,1.22%,4.28%,,,"60,099,105 VANA",650000000.0,1000000000.0,1,,,,,,,4428.0,2024-09-23
5127,Dubbz,DUBBZ,$0.4642,0.00%,2.12%,99.62%,,,"10,000,000 DUBBZ",10000000.0,,1,,,,,,,4717.0,2024-09-23
5140,BOOM DAO,BOOM,$0.0002927,0.09%,19.07%,50.91%,,,"422,967,255 BOOM",1000000000.0,,1,,,,,,,5840.0,2024-09-23
5167,Army of Fortune Gem,AFG,$0.007293,0.10%,0.16%,2.97%,,,"38,000,000 AFG",1000000000.0,1000000000.0,1,,,,,,,4213.0,2024-09-23
5307,Phantom of the Kill,HIME,$0.0121744,1.31%,5.92%,38.98%,,,"8,663,488 HIME",0.0,0.0,1,,,,,,,5342.0,2024-09-23
5324,Undead Blocks,UNDEAD,$0.0538,0.02%,3.08%,0.41%,,,"15,000,000 UNDEAD",500000000.0,500000000.0,1,,,,,,,7996.0,2024-09-23
5466,Sipher,SIPHER,$0.1146,0.35%,0.94%,0.26%,,,"114,340,911 SIPHER",114340911.0,1000000000.0,1,,,,,,,4491.0,2024-09-23
5482,MEOW,MEOW,$0.009295,0.03%,0.13%,13.31%,,,"1,469,741,551 MEOW",10101010101.0,10101010101.0,1,,,,,,,3709.0,2024-09-23
5525,Dope Wars Paper,PAPER,$0.002565,0.00%,5.24%,12.95%,,,"901,785,710 PAPER",1412625000.0,,1,,,,,,,5185.0,2024-09-23
5526,NFT Champions,CHAMP,$0.001153,0.06%,2.29%,21.60%,,,"150,199,082 CHAMP",1000000000.0,1000000000.0,1,,,,,,,4765.0,2024-09-23
5540,Galaxy Fox,GFOX,$0.0001354,0.75%,2.64%,18.26%,,,"5,000,000,000 GFOX",5000000000.0,5000000000.0,1,,,,,,,4475.0,2024-09-23
5584,Aavegotchi FOMO,FOMO,$0.0004855,2.27%,12.95%,27.22%,,,"19,903,353 FOMO",10148157974.841404,50000000000.0,1,,,,,,,6301.0,2024-09-23
5611,Champz,CHAMPZ,$0.001502,1.77%,3.52%,9.86%,,,"1,000,000,000 CHAMPZ",1000000000.0,1000000000.0,1,,,,,,,5145.0,2024-09-23
5663,Titanium22,TI,$0.091591,0.00%,3.68%,1.46%,,,"222,222,222,222,222 TI",222222222222222.0,222222222222222.0,1,,,,,,,4476.0,2024-09-23
5751,Pegaxy,PGX,$0.004299,0.00%,0.52%,7.91%,,,"433,712,625 PGX",1000000000.0,1000000000.0,1,,,,,,,5822.0,2024-09-23
5769,Anima Spirit Gem,ASG,$0.0008656,0.00%,3.32%,0.81%,,,"100,000,000 ASG",100000000.0,,1,,,,,,,6071.0,2024-09-23
5788,Spintop,SPIN,$0.004278,0.05%,1.61%,9.86%,,,"420,411,050 SPIN",126868993.0,1000000000.0,1,,,,,,,4609.0,2024-09-23
5809,BoxBet,BXBT,$0.04565,0.00%,3.87%,10.95%,,,"100,000,000 BXBT",100000000.0,100000000.0,1,,,,,,,4730.0,2024-09-23
5810,Titan Hunters,TITA,$0.003198,0.01%,1.52%,8.71%,,,"66,250,000 TITA",1000000000.0,1000000000.0,1,,,,,,,4727.0,2024-09-23
5829,Realm Anima,ANIMA,$0.007746,0.62%,1.55%,5.90%,,,"9,503,507 ANIMA",9503506.91,750000000.0,1,,,,,,,5533.0,2024-09-23
5981,xPET tech BPET,BPET,$0.01011,0.00%,1.04%,12.07%,,,"8,049,427 BPET",37273429.0,,1,,,,,,,4935.0,2024-09-23
6002,Tongochi,PET,$0.001476,0.00%,4.17%,4.55%,,,"91,085,000 PET",143263899.0,1000000000.0,1,,,,,,,5672.0,2024-09-23
6074,Sugar Kingdom Odyssey,SKO,$0.002527,0.00%,4.71%,1.83%,,,"46,000,000 SKO",25553333.0,,1,,,,,,,4240.0,2024-09-23
6080,Soul Society,HON,$0.000015,0.01%,35.41%,37.29%,,,"32,354,706 HON",1000000000.0,1000000000.0,1,,,,,,,3384.0,2024-09-23
6108,Wanaka Farm,WANA,$0.003024,0.02%,0.55%,3.45%,,,"173,520,265 WANA",499964148.0,500000000.0,1,,,,,,,7561.0,2024-09-23
6178,DeFi Warrior (FIWA),FIWA,$0.00005934,0.11%,2.64%,0.99%,,,"520,000,000 FIWA",10000000000.0,10000000000.0,1,,,,,,,4169.0,2024-09-23
6194,Space Misfits,SMCW,$0.0006737,0.00%,9.42%,11.84%,,,"48,394,393 SMCW",200000000.0,,1,,,,,,,4116.0,2024-09-23
6234,BunnyPark,BP,$0.001973,0.18%,1.76%,18.20%,,,"78,204,970 BP",136126303.476897,,1,,,,,,,4827.0,2024-09-23
6246,Hamsters,HAMS,$0.0033,15.40%,5.75%,94.10%,,,"10,000,000 HAMS",10000000.0,10000000.0,1,,,,,,,9577.0,2024-09-23
6286,Planet Sandbox,PSB,$0.002977,0.00%,0.24%,7.75%,,,"5,286,194 PSB",25604027.566666,100000000.0,1,,,,,,,3751.0,2024-09-23
6363,Knights of Cathena,CGO,$0.00002671,0.47%,0.63%,2.71%,,,"1,753,683,502 CGO",100722581141.0,100722581141.0,1,,,,,,,,2024-09-23
6426,Snook,SNK,$0.001984,0.00%,17.07%,0.55%,,,"26,027,079 SNK",39999374.807732,40000000.0,1,,,,,,,4883.0,2024-09-23
6429,Stella Fantasy,SFTY,$0.001141,0.00%,0.92%,2.77%,,,"59,000,000 SFTY",1000000000.0,1000000000.0,1,,,,,,,5308.0,2024-09-23
6433,MEGAWEAPON,WEAPON,$0.3104,0.00%,0.74%,17.11%,,,"10,000,000 WEAPON",10000000.0,,1,,,,,,,4726.0,2024-09-23
6505,Infinity Skies,ISKY,$0.002747,0.01%,2.97%,6.38%,,,"15,520,000 ISKY",18360936.0,,1,,,,,,,5555.0,2024-09-23
6511,X Protocol,POT,$0.003769,0.13%,5.95%,2.89%,,,"4,750,000 POT",4750000.0,21000000.0,1,,,,,,,4833.0,2024-09-23
6625,ChainCade,CHAINCADE,$0.081064,0.00%,3.15%,16.00%,,,"475,420,332,142,668 CHAINCADE",1000000000000000.0,1000000000000000.0,1,,,,,,,8159.0,2024-09-23
6630,Hero Arena,HERA,$0.001415,0.03%,3.43%,22.46%,,,"5,743,750 HERA",100000000.0,100000000.0,1,,,,,,,4871.0,2024-09-23
6660,Solana Poker,PLAY,$0.004971,0.00%,0.87%,11.69%,,,"100,000,000 PLAY",100000000.0,,1,,,,,,,,2024-09-23
6674,EXTOCIUM,XTO,$0.01483,0.00%,0.60%,7.33%,,,"1,900,000,000 XTO",0.0,2100000000.0,1,,,,,,,6998.0,2024-09-23
6677,Echo Of The Horizon,EOTH,$0.006684,0.00%,2.35%,2.37%,,,"66,223,373 EOTH",100495373.0,,1,,,,,,,5982.0,2024-09-23
6697,Moonscape,MSCP,$0.0001564,0.00%,2.69%,13.41%,,,"569,291,429 MSCP",1111111111.0,1111111111.0,1,,,,,,,7521.0,2024-09-23
6726,TaleCraft,CRAFT,$0.002379,0.01%,1.30%,1.15%,,,"6,000,000 CRAFT",30000000.0,30000000.0,1,,,,,,,5846.0,2024-09-23
6820,Memes vs Undead,MVU,$0.01003,0.35%,3.27%,3.23%,,,"1,670,000 MVU",100000000.0,100000000.0,1,,,,,,,7089.0,2024-09-23
6828,ZONE,ZONE,$0.0007179,0.02%,4.22%,19.98%,,,"122,154,602 ZONE",1000000000.0,1000000000.0,1,,,,,,,4801.0,2024-09-23
6836,The Winners Circle,HRSE,$0.02099,0.01%,2.94%,11.92%,,,"61,000,000 HRSE",500000000.0,,1,,,,,,,,2024-09-23
6946,MetaGods,MGOD,$0.0009556,0.00%,0.57%,9.76%,,,"478,564,399 MGOD",500000000.0,500000000.0,1,,,,,,,7518.0,2024-09-23
6981,StarSharks (SSS),SSS,$0.05346,0.00%,4.51%,12.33%,,,"1,312,693 SSS",100000000.0,100000000.0,1,,,,,,,5213.0,2024-09-23
7074,Alpaca City,ALPA,$0.006075,0.03%,0.52%,26.24%,,,"6,966,504 ALPA",15743250.0,20000000.0,1,,,,,,2628.0,4489.0,2024-09-23
7085,DoragonLand,DOR,$0.00009806,0.90%,3.42%,13.26%,,,"22,150,000 DOR",1000000000.0,1000000000.0,1,,,,,,,7700.0,2024-09-23
7123,Bit Hotel,BTH,$0.0008203,0.00%,0.44%,0.79%,,,"906,369,842 BTH",1000000000.0,1000000000.0,1,,,,,,,5603.0,2024-09-23
7229,Amber Soul Stone,AMBER,$0.00006326,0.00%,0.70%,4.95%,,,"1,000,000,000 AMBER",9997669032.0,10000000000.0,1,,,,,,,8458.0,2024-09-23
7251,Snail Trail,SLIME,$0.001349,0.00%,1.07%,16.61%,,,"116,246,040 SLIME",300000000.0,300000000.0,1,,,,,,,6104.0,2024-09-23
7306,Metarun,MRUN,$0.0005498,0.00%,4.45%,10.04%,,,"352,480,898 MRUN",1000000000.0,1000000000.0,1,,,,,,,6566.0,2024-09-23
7333,Crypto Global United,CGU,$0.001591,0.00%,0.32%,23.00%,,,"447,712,561 CGU",1000000000.0,1000000000.0,1,,,,,,,7120.0,2024-09-23
7442,Flare Token,1FLR,$0.00003572,0.00%,0.80%,12.39%,,,"4,000,000,000 1FLR",4000000000.0,4000000000.0,1,,,,,,,6608.0,2024-09-23
7590,Hydraverse,HDV,$0.0001401,0.02%,0.09%,5.30%,,,"22,208,111 HDV",500000000.0,,1,,,,,,,4958.0,2024-09-23
7606,World of Defish,WOD,$0.057164,0.00%,0.49%,1.74%,,,"140,000,000 WOD",1000000000.0,1000000000.0,1,,,,,,,8282.0,2024-09-23
7622,Gaming Stars,GAMES,$0.056598,0.01%,17.51%,28.81%,,,"484,000,003 GAMES",1000000000.0,1000000002.0,1,,,,,,,4300.0,2024-09-23
7704,Decentral Games Governance (xDG),xDG,$0.01604,0.00%,2.66%,1.04%,,,"5,523,290 xDG",280077485.0,280077485.0,1,,,,,,,6938.0,2024-09-23
7707,Age of Tanks,A.O.T,$0.0003931,0.00%,1.61%,12.96%,,,"82,800,000 A.O.T",300000000.0,300000000.0,1,,,,,,,7690.0,2024-09-23
7772,Web3Games.com,WGT,$0.001831,0.59%,0.61%,18.49%,,,"325,279,995 WGT",1000000000.0,1000000000.0,1,,,,,,,4304.0,2024-09-23
7806,Time Raiders,XPND,$0.00007135,0.00%,0.29%,1.00%,,,"30,313,709 XPND",1000000000.0,1000000000.0,1,,,,,,,,2024-09-23
7823,GONG,GONG,$0.053153,0.00%,0.23%,17.21%,,,"2,000,000,000 GONG",2000000000.0,2000000000.0,1,,,,,,,,2024-09-23
7838,Nomad Exiles,PRIDE,$0.001112,0.01%,3.46%,5.57%,,,"8,000,000 PRIDE",100000000.0,100000000.0,1,,,,,,,5015.0,2024-09-23
7844,Duckie Land,MMETA,$0.008592,0.00%,3.39%,13.78%,,,"18,800,000 MMETA",100000000.0,,1,,,,,,,7470.0,2024-09-23
7883,TryHards,TRYHARDS,$0.0001624,0.47%,1.48%,3.38%,,,"168,820,175 TRYHARDS",200000000.0,200000000.0,1,,,,,,,7237.0,2024-09-23
7938,PlayNity,PLY,$0.001354,0.00%,0.03%,1.32%,,,"9,545,556 PLY",150000000.0,150000000.0,1,,,,,,,,2024-09-23
8000,Moomonster,MOO,$0.0003731,0.00%,0.06%,29.99%,,,"17,000,000 MOO",170000000.0,170000000.0,1,,,,,,,9105.0,2024-09-23
8176,SkinCoin,SKIN,$0.0009849,0.05%,0.52%,11.20%,,,"88,183,483 SKIN",388183483.291,,1,,,,,1669.0,1920.0,8638.0,2024-09-23
8391,ITAM Games,ITAM,$0.008424,0.00%,2.14%,8.98%,,,"600,000,000 ITAM",52298004.417637,2500000000.0,1,,,,,,2661.0,8158.0,2024-09-23
8490,Bezoge Earth,BEZOGE,$0.0115234,0.00%,0.00%,17.96%,,,"40,167,269,122,662,936 BEZOGE",0.0,1e+17,1,,,,,,,6030.0,2024-09-23
8542,Meme Lordz [OLD],$LORDZ,$0.008871,0.00%,0.00%,3.29%,,,"76,650,367 $LORDZ",100000000.0,100000000.0,1,,,,,,,,2024-09-23
8573,Mech Master,MECH,$0.004671,1.63%,439.52%,487.61%,,,"12,020,600 MECH",650000000.0,650000000.0,1,,,,,,,7786.0,2024-09-23
8623,HappyLand,HPL,$0.0001293,0.00%,0.00%,10.21%,,,"10,560,000 HPL",400000000.0,400000000.0,1,,,,,,,5983.0,2024-09-23
8630,Animalia,ANIM,$0.003449,0.00%,0.00%,14.23%,,,"32,104,000 ANIM",108700000.0,,1,,,,,,,,2024-09-23
8647,MetaBrands,MAGE,$0.005674,0.07%,1.21%,8.95%,,,"14,632,395 MAGE",100000000.0,100000000.0,1,,,,,,,9110.0,2024-09-23
8667,Battle Saga,BTL,$0.0004026,0.00%,0.17%,0.05%,,,"29,542,625 BTL",300000000.0,300000000.0,1,,,,,,,9126.0,2024-09-23
8670,Mechanium,MECHA,$0.01286,0.00%,0.00%,4.69%,,,"5,000,000 MECHA",76500000.0,100000000.0,1,,,,,,,6379.0,2024-09-23
8704,Colonize Mars,MARTIA,$0.00002943,1.13%,13.39%,15.29%,,,"420,056,281 MARTIA",10078963605.2591,12000000000.0,1,,,,,,,,2024-09-23
8833,Monsterra (MAG),MAG,$0.0004099,0.00%,0.46%,20.02%,,,"7,850,000 MAG",0.0,,1,,,,,,,7626.0,2024-09-23
9199,PECland,PECL,$0.057306,0.00%,0.00%,6.75%,,,"6,500,000,000 PECL",50000000000.0,50000000000.0,1,,,,,,,5954.0,2024-09-23
9219,Memefi Toybox 404,TOYBOX,$35.08,0.00%,0.00%,15.53%,,,"8,888 TOYBOX",8888.0,8888.0,1,,,,,,,6364.0,2024-09-23
9247,GnomeLand,GNOME,$0.0001832,9.07%,9.07%,10.82%,,,"156,971,211 GNOME",156971211.0,,1,,,,,,,3859.0,2024-09-23
9261,Xtremeverse,XTREME,$161.82,0.00%,3.04%,11.53%,,,"3,000 XTREME",3000.0,3000.0,1,,,,,,,4057.0,2024-09-23
9266,Besa Gaming,BESA,$0.0000421,0.00%,2.96%,9.33%,,,"1,000,000,000 BESA",1000000000.0,,1,,,,,,,5705.0,2024-09-23
9267,Gambit,GAMBIT,$0.051004,0.00%,3.82%,10.28%,,,"100,000,000,000 GAMBIT",100000000000.0,100000000000.0,1,,,110.0,294.0,,,5932.0,2024-09-23
9289,Apollo FTW,FTW,$0.001278,0.00%,1.47%,16.16%,,,"877,085,065 FTW",877085065.0,2000000000.0,1,,,,,,,4306.0,2024-09-23
9359,The GameHub,GHUB,$0.0001921,0.00%,2.72%,92.64%,,,"100,000,000 GHUB",100000000.0,100000000.0,1,,,,,,,4502.0,2024-09-23
12,Avalanche,AVAX,$27.06,0.62%,1.53%,15.64%,,,"406,002,079 AVAX",446015071.9233751,715748719.0,2,,,,,,55.0,12.0,2024-09-23
14,Chainlink,LINK,$11.23,0.08%,0.22%,7.01%,,,"626,849,970 LINK",1000000000.0,,2,,,,,12.0,9.0,16.0,2024-09-23
46,VeChain,VET,$0.02388,0.18%,0.34%,14.06%,,,"80,985,041,177 VET",85985041177.0,86712634466.0,2,,,,,40.0,23.0,39.0,2024-09-23
53,Maker,MKR,"$1,612.33",0.08%,0.32%,6.22%,,,"882,870 MKR",926618.67155817,1005577.0,2,,,,,30.0,27.0,41.0,2024-09-23
67,Ondo,ONDO,$0.7163,0.42%,0.16%,21.10%,,,"1,389,759,838 ONDO",10000000000.0,,2,,,,,,,76.0,2024-09-23
68,MANTRA,OM,$1.16,0.09%,0.37%,8.58%,,,"842,499,555 OM",888888888.0,,2,,,,,,,128.0,2024-09-23
72,Quant,QNT,$77.23,0.08%,4.33%,10.45%,,,"12,072,738 QNT",14881364.0,14881364.0,2,,,,,99.0,88.0,72.0,2024-09-23
111,Synthetix,SNX,$1.58,0.12%,1.01%,19.44%,,,"327,769,196 SNX",328193104.0887736,,2,,,,,,25.0,87.0,2024-09-23
122,IOTA,IOTA,$0.1387,0.21%,1.58%,15.47%,,,"3,440,020,224 IOTA",3440020224.0,,2,,,,,27.0,34.0,103.0,2024-09-23
128,Axelar,AXL,$0.5664,0.09%,0.59%,18.54%,,,"791,621,235 AXL",1168916504.824803,,2,,,,,,,100.0,2024-09-23
136,XDC Network,XDC,$0.02857,0.18%,0.12%,2.58%,,,"14,926,314,621 XDC",37944769424.25,,2,,,,,,,131.0,2024-09-23
155,Reserve Rights,RSR,$0.006765,0.27%,3.96%,19.57%,,,"51,438,764,433 RSR",100000000000.0,,2,,,,,206.0,64.0,195.0,2024-09-23
197,Polymesh,POLYX,$0.2551,0.50%,1.51%,16.55%,,,"887,281,383 POLYX",1090965324.987561,,2,,,,,,,168.0,2024-09-23
247,Centrifuge,CFG,$0.3631,0.17%,0.32%,9.88%,,,"501,376,247 CFG",553240839.0,,2,,,,,,,185.0,2024-09-23
261,Creditcoin,CTC,$0.4464,0.18%,0.03%,9.26%,,,"377,085,684 CTC",549564264.0,600000000.0,2,,,,,2142.0,209.0,244.0,2024-09-23
273,Chia,XCH,$14.51,0.87%,2.46%,13.74%,,,"11,019,242 XCH",32023790.0,,2,,,,,,,198.0,2024-09-23
292,Chintai,CHEX,$0.1375,0.52%,2.89%,13.78%,,,"969,210,617 CHEX",998890960.3163126,,2,,,,,,,2609.0,2024-09-23
294,Lisk,LSK,$0.9057,0.07%,0.11%,17.45%,,,"145,444,085 LSK",400000000.0,,2,,,9.0,22.0,49.0,96.0,254.0,2024-09-23
310,Venus,XVS,$7.44,0.18%,0.39%,9.70%,,,"16,388,030 XVS",30000000.0,,2,,,,,,300.0,321.0,2024-09-23
313,TrueFi,TRU,$0.101,0.22%,5.39%,5.20%,,,"1,178,882,643 TRU",1263325829.1551602,1450000000.0,2,,,,,,361.0,347.0,2024-09-23
334,Dusk,DUSK,$0.2327,1.10%,3.12%,19.96%,,,"464,327,796 DUSK",500000000.0,,2,,,,,,,324.0,2024-09-23
346,Propy,PRO,$1.03,0.20%,1.96%,7.76%,,,"100,000,000 PRO",100000000.0,,2,,,,,417.0,713.0,225.0,2024-09-23
407,Maple,MPL,$18.56,1.77%,0.90%,5.43%,,,"4,417,986 MPL",10000000.0,10000000.0,2,,,,,,,528.0,2024-09-23
423,Polyhedra Network,ZKJ,$1.15,0.04%,0.44%,0.19%,,,"67,169,550 ZKJ",900000000.0,1000000000.0,2,,,,,,,2462.0,2024-09-23
429,Clearpool,CPOOL,$0.1244,0.48%,2.09%,0.64%,,,"606,598,945 CPOOL",1000000000.0,1000000000.0,2,,,,,,,477.0,2024-09-23
450,Goldfinch,GFI,$2.38,1.07%,0.86%,9.71%,,,"29,135,286 GFI",114285714.0,114285714.0,2,,,,,,,417.0,2024-09-23
462,Hifi Finance,HIFI,$0.4894,0.41%,0.18%,15.88%,,,"138,237,507 HIFI",141362935.4123859,,2,,,,,,,441.0,2024-09-23
480,Polymath,POLY,$0.0677,3.12%,2.10%,3.82%,,,"924,998,413 POLY",1000000000.0,,2,,,,,262.0,167.0,462.0,2024-09-23
510,Alkimi,ADS,$0.237,0.88%,0.35%,15.92%,,,"236,991,084 ADS",250000000.0,,2,,,,,,,3199.0,2024-09-23
511,LTO Network,LTO,$0.1297,0.33%,1.50%,12.00%,,,"432,040,008 LTO",432069639.32547736,500000000.0,2,,,,,283.0,163.0,482.0,2024-09-23
541,Ribbon Finance,RBN,$0.3983,0.93%,2.18%,25.47%,,,"126,287,812 RBN",1000000000.0,,2,,,,,,,120.0,2024-09-23
554,ORIGYN,OGY,$0.006059,0.02%,0.73%,1.71%,,,"7,828,640,875 OGY",10417581641.736532,,2,,,,,,,3143.0,2024-09-23
595,Propbase,PROPS,$0.1119,1.02%,2.77%,33.15%,,,"369,751,554 PROPS",1200000000.0,1200000000.0,2,,,,,,,572.0,2024-09-23
602,Boson Protocol,BOSON,$0.3036,0.21%,8.72%,24.03%,,,"132,645,891 BOSON",200000000.0,200000000.0,2,,,,,,,495.0,2024-09-23
655,Parcl,PRCL,$0.2244,2.28%,0.24%,67.45%,,,"144,901,780 PRCL",1000000000.0,1000000000.0,2,,,,,,,2437.0,2024-09-23
684,StrikeX,STRX,$0.03423,0.16%,3.19%,4.69%,,,"869,527,814 STRX",884232753.5840485,,2,,,,,,,546.0,2024-09-23
714,NEOPIN,NPT,$0.2566,0.05%,1.31%,7.46%,,,"104,810,305 NPT",1000000000.0,,2,,,,,,,544.0,2024-09-23
724,Artrade,ATR,$0.01547,0.23%,13.01%,19.18%,,,"1,637,939,083 ATR",1788974932.5829122,,2,,,,,,,604.0,2024-09-23
730,Propchain,PROPC,$1.14,0.50%,5.50%,20.04%,,,"21,919,680 PROPC",63763336.9999994,100000000.0,2,,,,,,,600.0,2024-09-23
734,Nexera,NXRA,$0.02956,1.19%,8.21%,19.11%,,,"820,713,704 NXRA",864753703.7422844,,2,,,,,,,373.0,2024-09-23
757,Polytrade,TRADE,$0.6051,1.77%,6.55%,13.85%,,,"37,525,243 TRADE",100000000.0,100000000.0,2,,,,,,,560.0,2024-09-23
778,Opulous,OPUL,$0.07489,0.48%,5.77%,16.08%,,,"283,693,726 OPUL",500000000.0,,2,,,,,,,620.0,2024-09-23
789,Hathor,HTR,$0.04312,0.24%,1.51%,15.62%,,,"457,390,929 HTR",931235160.0,,2,,,,,,2469.0,826.0,2024-09-23
790,Swarm Markets,SMT,$0.2401,0.56%,5.92%,6.19%,,,"81,919,573 SMT",158143776.0,,2,,,,,,,771.0,2024-09-23
812,ELYSIA,EL,$0.004681,1.08%,0.98%,0.05%,,,"4,010,729,784 EL",6803300704.688,7000000000.0,2,,,,,2394.0,748.0,637.0,2024-09-23
867,Credefi,CREDI,$0.02089,0.19%,5.63%,43.99%,,,"748,573,880 CREDI",1000000000.0,1000000000.0,2,,,,,,,796.0,2024-09-23
895,Brickken,BKN,$0.232,0.27%,6.32%,20.36%,,,"62,465,848 BKN",143000000.0,,2,,,,,,,903.0,2024-09-23
923,Electra Protocol,XEP,$0.0007715,0.08%,13.52%,16.94%,,,"18,056,743,574 XEP",18057609162.74915,30000000000.0,2,,,,,,3168.0,924.0,2024-09-23
971,Comtech Gold,CGO,$84.48,0.07%,0.19%,1.65%,,,"141,000 CGO",141000.0,141000.0,2,,,,,,,1064.0,2024-09-23
973,KlimaDAO,KLIMA,$1.49,0.15%,3.96%,39.14%,,,"7,997,365 KLIMA",15026538.14086607,,2,,,,,,,917.0,2024-09-23
975,Blocksquare Token,BST,$0.2353,0.25%,3.05%,34.40%,,,"50,434,956 BST",53017937.41082808,100000000.0,2,,,,,,,751.0,2024-09-23
1043,Soil,SOIL,$0.8308,0.01%,6.27%,0.57%,,,"11,630,277 SOIL",99250000.0,100000000.0,2,,,,,,,1195.0,2024-09-23
1086,BytomDAO,BTM,$0.005117,0.76%,1.69%,1.52%,,,"1,640,515,592 BTM",2100000000.0,2100000000.0,2,,,,,,,,2024-09-23
1127,Stobox Token,STBU,$0.07629,0.12%,0.86%,24.88%,,,"100,000,000 STBU",150000000.0,150000000.0,2,,,,,,2738.0,876.0,2024-09-23
1128,Realio Network,RIO,$1.17,0.15%,5.37%,61.84%,,,"6,568,515 RIO",74488102.0,75000000.0,2,,,,,,640.0,1045.0,2024-09-23
1216,UBXS Token,UBXS,$0.1047,0.74%,7.30%,33.10%,,,"57,155,070 UBXS",84999999.0,,2,,,,,,,900.0,2024-09-23
1240,Landshare,LAND,$1.44,0.10%,3.46%,14.94%,,,"3,886,510 LAND",3911083.87174036,,2,,,,,,,962.0,2024-09-23
1286,XDB CHAIN,XDB,$0.000283,0.38%,0.22%,2.03%,,,"17,197,670,082 XDB",18974370019.97,,2,,,,,,,1007.0,2024-09-23
1300,Everest,ID,$0.03947,0.00%,2.38%,8.20%,,,"116,700,000 ID",800000000.0,800000000.0,2,,,,,,,1034.0,2024-09-23
1446,LandX Finance,LNDX,$0.3567,0.57%,0.32%,22.25%,,,"8,372,042 LNDX",66559779.787758,80000000.0,2,,,,,,,1047.0,2024-09-23
1459,Carnomaly,CARR,$0.001831,2.06%,9.66%,47.22%,,,"1,575,000,000 CARR",1750000000.0,1750000000.0,2,,,,,,,3808.0,2024-09-23
1568,Horizon Protocol,HZN,$0.01673,1.03%,0.13%,16.27%,,,"120,707,110 HZN",236557873.0,,2,,,,,,,1315.0,2024-09-23
1758,3DPass,P3D,$0.003202,0.45%,9.45%,6.35%,,,"325,726,084 P3D",655670098.0,1000000000.0,2,,,,,,,1356.0,2024-09-23
1818,Alvara Protocol,ALVA,$0.06106,0.58%,1.59%,8.90%,,,"13,588,879 ALVA",200000000.0,200000000.0,2,,,,,,,1618.0,2024-09-23
2150,Acquire.Fi,ACQ,$0.00711,0.12%,2.80%,5.90%,,,"35,041,183 ACQ",300000000.0,300000000.0,2,,,,,,,1744.0,2024-09-23
