Ranking,Name,Token,Price,One_Hour_Percentage,TwentyFour_Hour_Percentage,Seven_Days_Percentage,Market_Cap,Volume_24h,Circulating_Supply,Total_Supply,Max_Supply,Class,Halving_1_RankIndex,Halving_1_Plus250_RankIndex,Halving_2_RankIndex,Halving_2_Plus250_RankIndex,Halving_3_RankIndex,Halving_3_Plus250_RankIndex,Halving_4_RankIndex,Capture_Date
1090,Nuco.cloud,NCDT,$0.2508,0.61%,20.25%,34.63%,,,"33,091,343 NCDT",50000000.0,50000000.0,0,,,,,,1059.0,728.0,2024-09-23
1121,bitsCrunch,BCUT,$0.02827,0.23%,0.80%,21.27%,,,"273,645,090 BCUT",1000000000.0,,0,,,,,,,2927.0,2024-09-23
1148,TRVL,TRVL,$0.02188,0.09%,0.65%,2.90%,,,"331,240,882 TRVL",1000000000.0,1000000000.0,0,,,,,,,831.0,2024-09-23
1150,Ta-da,TADA,$0.0316,0.18%,2.22%,0.30%,,,"228,485,283 TADA",1000000000.0,1000000000.0,0,,,,,,,3254.0,2024-09-23
1160,AIPAD,AIPAD,$0.06141,0.52%,0.59%,26.29%,,,"113,918,167 AIPAD",199049334.2921128,200000000.0,0,,,,,,,990.0,2024-09-23
1161,Phantasma,SOUL,$0.05599,0.02%,1.11%,3.48%,,,"124,129,198 SOUL",124129197.66163056,,0,,,,,479.0,820.0,883.0,2024-09-23
1162,Synesis One,SNS,$0.01522,1.55%,66.74%,47.86%,,,"456,252,758 SNS",999996689.0,,0,,,,,,,734.0,2024-09-23
1178,PIBBLE,PIB,$0.0003001,0.01%,1.51%,0.04%,,,"21,900,500,893 PIB",29696500892.67001,30000000000.0,0,,,,,1036.0,959.0,1040.0,2024-09-23
1198,Robonomics.network,XRT,$3.71,0.45%,14.29%,65.21%,,,"1,670,176 XRT",1915498.09331752,,0,,,,,,470.0,1062.0,2024-09-23
1213,Optimus AI,OPTI,$0.06368,0.72%,3.44%,18.02%,,,"95,034,939 OPTI",100000000.0,,0,,,,,,,821.0,2024-09-23
