A,Ranking,Name,Token,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply,B,URL
,534,Dimitra,DMTR,$0.1083,0.27%,14.04%,20.64%,"$52,675,343","$541,434
4,940,082 DMTR","486,503,182 DMTR",,https://coinmarketcap.com/currencies/dimitra/
,536,Forta,FORT,$0.1238,0.09%,4.76%,4.22%,"$52,727,942","$705,938
5,703,291 FORT","425,900,172 FORT",,https://coinmarketcap.com/currencies/forta/
,543,Agoras: Currency of Tau,AGRS,$1.72,0.46%,6.85%,59.08%,"$51,421,787","$142,890
83,704 AGRS","29,892,947 AGRS",,https://coinmarketcap.com/currencies/agoras-tokens/
,546,Virtuals Protocol,VIRTUAL,$0.05074,1.13%,7.30%,61.56%,"$50,740,251","$665,449
13,116,556 VIRTUAL","1,000,000,000 VIRTUAL",,https://coinmarketcap.com/currencies/virtual-protocol/
,554,Streamr,DATA,$0.04694,1.55%,7.97%,31.53%,"$49,919,652","$13,388,745
284,799,503 DATA","1,063,403,853 DATA",,https://coinmarketcap.com/currencies/streamr/
,564,PaLM AI,PALM,$0.6367,0.49%,2.98%,42.56%,"$49,216,071","$864,729
1,397,217 PALM","77,300,000 PALM",,https://coinmarketcap.com/currencies/palm-ai/
,568,Aleph.im,ALEPH,$0.1897,1.41%,6.22%,28.49%,"$46,886,942","$461,153
2,432,171 ALEPH","247,220,482 ALEPH",,https://coinmarketcap.com/currencies/aleph-im/
,589,Humans.ai,HEART,$0.007802,0.04%,1.45%,4.65%,"$43,615,521","$123,258
15,796,612 HEART","5,590,033,742 HEART",,https://coinmarketcap.com/currencies/humans-ai/
,592,DIA,DIA,$0.3921,0.18%,2.02%,20.56%,"$43,375,191","$4,436,479
11,320,722 DIA","110,617,604 DIA",,https://coinmarketcap.com/currencies/dia/
,607,SIDUS,SIDUS,$0.00443,1.47%,15.60%,49.71%,"$41,451,032","$1,193,223
272,601,385 SIDUS","9,356,868,845 SIDUS",,https://coinmarketcap.com/currencies/sidus/
,618,DecideAI,DCD,$0.07957,0.43%,6.64%,17.74%,"$38,881,677","$345,513
4,326,771 DCD","488,677,471 DCD",,https://coinmarketcap.com/currencies/decideai/
,621,Cortex,CTXC,$0.1737,0.40%,2.26%,9.92%,"$38,914,471","$3,428,380
19,771,332 CTXC","224,001,207 CTXC",,https://coinmarketcap.com/currencies/cortex/
,632,Verasity,VRA,$0.003687,0.75%,0.94%,17.39%,"$36,612,165","$9,918,102
2,688,554,739 VRA","9,930,514,635 VRA",,https://coinmarketcap.com/currencies/verasity/
,637,Zero1 Labs,DEAI,$0.3945,1.26%,14.18%,148.79%,"$35,986,071","$3,668,534
9,238,174 DEAI","91,221,244 DEAI",,https://coinmarketcap.com/currencies/zero1-labs/
,638,VIDT DAO,VIDT,$0.04305,0.66%,3.83%,0.30%,"$36,035,512","$3,796,867
87,993,871 VIDT","837,071,066 VIDT",,https://coinmarketcap.com/currencies/vidt-dao/
,645,Victoria VR,VR,$0.006655,1.19%,5.10%,4.41%,"$35,512,513","$4,320,771
655,552,958 VR","5,336,247,368 VR",,https://coinmarketcap.com/currencies/victoria-vr/
,655,Commune AI,COMAI,$0.3405,0.17%,31.62%,137.29%,"$34,300,854","$424,172
1,252,484 COMAI","100,735,860 COMAI",,https://coinmarketcap.com/currencies/commune-ai/
,667,Measurable Data Token,MDT,$0.04805,0.43%,1.14%,21.48%,"$32,490,812","$4,621,383
96,089,324 MDT","676,157,013 MDT",,https://coinmarketcap.com/currencies/measurable-data-token/
,669,AIT Protocol,AIT,$0.1314,3.32%,0.42%,82.92%,"$31,786,083","$2,985,914
22,359,272 AIT","241,915,781 AIT",,https://coinmarketcap.com/currencies/ait-protocol/
,670,LinqAI,LNQ,$0.1703,2.29%,0.85%,24.17%,"$32,609,907","$2,381,176
14,131,325 LNQ","191,434,059 LNQ",,https://coinmarketcap.com/currencies/linqai/
,674,Numbers Protocol,NUM,$0.04712,0.18%,2.43%,18.80%,"$31,877,473","$438,135
9,297,288 NUM","676,474,220 NUM",,https://coinmarketcap.com/currencies/numbers-protocol/
,678,Sentinel Protocol,UPP,$0.06346,0.27%,6.55%,16.67%,"$31,593,833","$11,337,145
178,954,855 UPP","497,834,800 UPP",,https://coinmarketcap.com/currencies/sentinel-protocol/
,679,SelfKey,KEY,$0.005239,0.15%,1.04%,12.31%,"$31,435,969","$3,060,053
582,883,126 KEY","5,999,999,954 KEY",,https://coinmarketcap.com/currencies/selfkey/
,687,Graphlinq Chain,GLQ,$0.08923,2.06%,2.50%,55.48%,"$30,336,804","$1,554,220
17,460,647 GLQ","339,999,895 GLQ",,https://coinmarketcap.com/currencies/graphlinq-protocol/
,690,VAIOT,VAI,$0.08678,0.79%,8.21%,14.58%,"$29,918,366","$741,320
8,506,087 VAI","344,751,032 VAI",,https://coinmarketcap.com/currencies/vaiot/
,718,GT Protocol,GTAI,$0.7542,3.78%,20.66%,68.27%,"$27,346,628","$7,174,260
9,487,489 GTAI","36,258,135 GTAI",,https://coinmarketcap.com/currencies/gt-protocol/
